,Dominant_Topic,Topic_Keywords,Num_Sentences,Perc_Sentences
845.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
846.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
847.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
848.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
849.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
850.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
851.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
852.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
853.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
854.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
855.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
856.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
857.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
858.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
859.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
860.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
861.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
862.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
863.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
864.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
865.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
866.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
867.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
868.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
869.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
870.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
871.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
872.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
873.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
874.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
875.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
876.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
877.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
878.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
879.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
880.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
881.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
882.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
883.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
884.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
885.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
886.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
887.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
888.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
889.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
890.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
891.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
892.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
893.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
894.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
895.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
896.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
897.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
898.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
899.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
900.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
901.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
902.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
903.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
904.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
905.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
906.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
907.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
908.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
909.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
910.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
911.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
912.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
913.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
914.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
915.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
916.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
917.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
918.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
919.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
920.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
921.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
922.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
923.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
924.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
925.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
926.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
927.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
928.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
929.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
930.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
931.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
932.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
933.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
934.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
935.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
936.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
937.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
938.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
939.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
940.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
941.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
942.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
943.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
944.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
945.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
946.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
947.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
948.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
949.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
950.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
951.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
952.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
953.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
954.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
955.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
956.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
957.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
958.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
959.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
960.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
961.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
962.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
963.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
964.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
965.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
966.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
967.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
968.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
969.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
970.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
971.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
972.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
973.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
974.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
975.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
976.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
977.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
978.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
979.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
980.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
981.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
982.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
983.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
984.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
985.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
986.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
987.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
988.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
989.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
990.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
991.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
992.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
993.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
994.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
995.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
996.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
997.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
998.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
999.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1000.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1001.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1002.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
1003.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1004.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
1005.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1006.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1007.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1008.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1009.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1010.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1011.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1012.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1013.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1014.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1015.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1016.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1017.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1018.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1019.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1020.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1021.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1022.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1023.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1024.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1025.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1026.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
1027.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1028.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1029.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1030.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1031.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1032.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1033.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1034.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1035.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1036.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1037.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1038.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1039.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1040.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1041.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
1042.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1043.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1044.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
1045.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1046.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1047.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1048.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1049.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1050.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1051.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1052.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1053.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1054.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1055.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1056.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1057.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1058.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1059.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1060.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1061.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1062.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1063.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1064.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1065.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
1066.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
1067.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1068.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1069.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1070.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1071.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1072.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1073.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1074.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1075.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1076.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1077.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1078.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
1079.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1080.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1081.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1082.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1083.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1084.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
1085.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1086.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1087.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1088.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1089.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1090.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1091.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1092.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1093.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1094.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1095.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1096.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1097.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1098.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1099.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1100.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1101.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1102.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
1103.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1104.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1105.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1106.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1107.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1108.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1109.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1110.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
1111.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1112.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1113.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1114.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1115.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1116.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1117.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1118.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1119.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1120.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1121.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1122.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1123.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1124.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1125.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1126.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1127.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
1128.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
1129.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1130.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1131.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1132.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1133.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1134.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1135.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1136.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
1137.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1138.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1139.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1140.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1141.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1142.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1143.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1144.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1145.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1146.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1147.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1148.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1149.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
1150.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1151.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
1152.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1153.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1154.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1155.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1156.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1157.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1158.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1159.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1160.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1161.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1162.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
1163.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1164.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1165.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1166.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1167.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1168.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1169.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1170.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1171.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1172.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1173.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1174.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1175.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1176.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1177.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1178.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1179.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1180.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1181.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1182.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1183.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1184.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1185.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1186.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1187.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1188.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1189.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1190.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
1191.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1192.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
1193.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1194.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
1195.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1196.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1197.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
1198.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
1199.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1200.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1201.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1202.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1203.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1204.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
1205.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
1206.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1207.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1208.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
1209.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
1210.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1211.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1212.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
1213.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
1214.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
1215.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
1216.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
1217.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
1218.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
