,Dominant_Topic,Topic_Keywords,Num_Sentences,Perc_Sentences
84.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
85.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
86.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
87.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
88.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
89.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
90.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
91.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
92.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
93.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
94.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
95.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
96.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
97.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
98.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
99.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
100.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
101.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
102.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
103.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
104.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
105.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
106.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
107.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
108.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
109.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
110.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
111.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
112.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
113.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
114.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
115.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
